Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Model,Arrow Part Number,Arrow Price/Stock,Height,Manufacturer_Name,Manufacturer_Part_Number,Mouser Part Number,Mouser Price/Stock,automotive,category,contact material,current rating,device class L1,device class L2,device class L3,digikey description,digikey part number,footprint url,height,is connector,is female,is male,lead free,library id,manufacturer,mouser description,mouser part number,number of contacts,number of rows,package,pitch,rohs,standoff height,temperature range high,temperature range low,voltage rating,Channel Polarity,Ciss Typ pF,Component Link 1 Description,Component Link 1 URL,Component Link 3 Description,Component Link 3 URL,Configuration,Coss Typ pF,Crss Typ pF,Datasheet Version,Mounting Technology,PD Max W,Package Description,Package Type,Package Version,Packing,Qrr Typ nC,VBRDSS Min V,VGSth Max V,ciiva ids,imported,release date,vault revision,automotive grade,continuous drain current,depletion mode,drain to source breakdown voltage,drain to source resistance,drain to source voltage,gate charge at vgs,gate to source voltage,input capacitace at vds,max forward diode voltage,max junction temp,number of N channels,number of channels,power dissipation,pulse drain current,reverse recovery charge,reverse recovery time,rthja max,threshold vgs max,threshold vgs min,transconductance,turn off delay time,turn on delay time,typ forward diode voltage
52,"Resistor, US symbol",R_US,R8 R22 R39 R43 R51 R59 R66 R67 R69 R70 R71 R72,180,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,12,~,RMCF0805JT180R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"Resistor, US symbol",R_US,R30,402,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,~,RC0805FR-07402RL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,"Resistor, US symbol",R_US,R35 R36,422,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2,~,RC0805FR-07422RL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,"Resistor, US symbol",R_US,R74 R76,750,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2,~,RMCF0805JT750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,"Resistor, US symbol",R_US,R81,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,~,RC0805FR-071KL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,"Resistor, US symbol",R_US,R31,2k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,~,RT0805FRE072KL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,"Resistor, US symbol",R_US,R82,2.1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,~,RC0805FR-072K1L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,"Resistor, US symbol",R_US,R7 R38 R42 R50 R58 R68 R73,2.4k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,7,~,RC0805JR-072K4L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"Resistor, US symbol",R_US,R11 R16,2.49k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2,~,RT0805DRE072K49L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,"Resistor, US symbol",R_US,R10 R15,4.53k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2,~,RT0805DRE074K53L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
